Level,Level1,Level2,Level3,Level4,Level5,Level6,Products and product groups
1,All-items,,,,,,All-items
2,All-items,Food,,,,,Food
3,All-items,Food,Food purchased from stores,,,,Food purchased from stores
4,All-items,Food,Food purchased from stores,Meat,,,Meat
5,All-items,Food,Food purchased from stores,Meat,Fresh or frozen meat (excluding poultry),,Fresh or frozen meat (excluding poultry)
6,All-items,Food,Food purchased from stores,Meat,Fresh or frozen meat (excluding poultry),Fresh or frozen beef,Fresh or frozen beef
6,All-items,Food,Food purchased from stores,Meat,Fresh or frozen meat (excluding poultry),Fresh or frozen pork,Fresh or frozen pork
6,All-items,Food,Food purchased from stores,Meat,Fresh or frozen meat (excluding poultry),Other fresh or frozen meat (excluding poultry),Other fresh or frozen meat (excluding poultry)
5,All-items,Food,Food purchased from stores,Meat,Fresh or frozen poultry,,Fresh or frozen poultry
6,All-items,Food,Food purchased from stores,Meat,Fresh or frozen poultry,Fresh or frozen chicken,Fresh or frozen chicken
6,All-items,Food,Food purchased from stores,Meat,Fresh or frozen poultry,Other fresh or frozen poultry,Other fresh or frozen poultry
5,All-items,Food,Food purchased from stores,Meat,Processed meat,,Processed meat
6,All-items,Food,Food purchased from stores,Meat,Processed meat,Ham and bacon,Ham and bacon
6,All-items,Food,Food purchased from stores,Meat,Processed meat,Other processed meat,Other processed meat
6,All-items,Food,Food purchased from stores,Meat,Processed meat,Bacon (2013=100),Bacon (2013=100)
6,All-items,Food,Food purchased from stores,Meat,Processed meat,Ham excluding deli ham (2013=100),Ham excluding deli ham (2013=100)
4,All-items,Food,Food purchased from stores,"Fish, seafood and other marine products",,,"Fish, seafood and other marine products"
5,All-items,Food,Food purchased from stores,"Fish, seafood and other marine products",Fish,,Fish
6,All-items,Food,Food purchased from stores,"Fish, seafood and other marine products",Fish,Fresh or frozen fish (including portions and fish sticks),Fresh or frozen fish (including portions and fish sticks)
6,All-items,Food,Food purchased from stores,"Fish, seafood and other marine products",Fish,Canned and other preserved fish,Canned and other preserved fish
6,All-items,Food,Food purchased from stores,"Fish, seafood and other marine products",Fish,Canned salmon (2013=100),Canned salmon (2013=100)
6,All-items,Food,Food purchased from stores,"Fish, seafood and other marine products",Fish,Canned tuna (2013=100),Canned tuna (2013=100)
5,All-items,Food,Food purchased from stores,"Fish, seafood and other marine products",Seafood and other marine products,,Seafood and other marine products
6,All-items,Food,Food purchased from stores,"Fish, seafood and other marine products",Seafood and other marine products,Shrimps and prawns (2013=100),Shrimps and prawns (2013=100)
