RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022
102001,0,United States,country,,127881,128227,128591,129332,130079,130824,131584,132394,133222,134055,134895,135756,136559,137298,138048,138850,139676,140486,141302,142147,142983,143824,144594,145330,146001,146702,147441,148223,149056,149933,150884,151877,152859,153846,154777,155705,156551,157414,158299,159256,160280,161300,162365,163489,164679,165867,166940,167966,168987,170159,171468,172899,174481,176166,177959,179722,181441,183076,184605,186158,187684,189286,190949,192859,194848,196920,198968,201030,203023,204875,206531,208014,209269,210482,211750,213122,214432,215531,216336,216943,217282,217526,217603,217647,217629,217648,217656,217674,217515,217162,216550,215903,215115,214295,213262,212219,210974,209626,208117,206541,204951,203272,201472,199417,197410,195479,193573,191673,189821,188371,187009,185743,184435,183239,182166,181131,180174,179429,179088,178945,178874,178766,178776,178943,179014,178802,178085,177134,176009,174914,173792,172775,171817,170955,170140,169285,168396,167550,166882,166296,165782,165239,164789,164381,164152,164042,164211,164536,165015,165469,165933,166375,166865,167448,168160,168960,169936,171027,172273,173533,174872,176237,177605,178873,180081,181241,182324,183361,184389,185447,186322,187041,187695,188366,188956,189363,189745,190235,190881,191613,192353,193176,194085,195029,195966,196775,197486,198167,198895,199657,200394,201267,202239,203296,204220,205215,206176,207152,208026,208864,209740,210683,211745,212838,213939,215065,216234,217482,218676,219821,220823,221827,222925,224136,225409,226712,228010,229386,230726,232050,233273,234391,235429,236412,237393,238363,239342,240339,241364,242309,243122,243824,244473,245078,245632,246194,246830,247547,248286,249117,250107,251256,252549,253775,254627,255337,256441,258367,260889,263723,266764,269823,273072,276446,280122,284002,288735,294292,300206,305630,310279,314397,318303,322658,327381,332588,337848,343392,348415,352585,354986,356026
394913,1,"New York, NY",msa,NY,224676,226018,227226,229604,231817,234174,236651,239214,241786,244330,246775,249065,251269,253694,256065,258541,260888,263425,265893,268563,271267,274250,276997,279648,282325,284933,287473,289923,292513,295452,298616,302526,306619,310708,314333,318001,321692,325484,329551,333336,337198,340899,344814,348584,352017,355218,358208,361124,364400,367666,371165,374536,378565,382871,387644,392406,397345,402239,406857,411083,415077,419032,423153,428078,433331,438508,443272,448059,452938,457938,462336,466663,470357,474231,477286,480111,482493,484814,486277,486723,486180,484819,483099,481225,479566,478414,478472,478266,478041,476430,474582,472740,470757,469504,468022,466605,465271,463781,461755,459530,456197,453174,449762,446777,443549,440004,436322,432909,429251,425791,422456,419197,416550,413733,411187,408335,406212,404613,403703,403127,403019,403311,403129,403083,402777,403361,403770,403822,403053,401539,399682,397552,396189,395101,394601,393445,392218,390404,388750,387062,385453,383805,382006,380462,379036,377743,376676,375971,375704,375673,375463,375132,374753,374461,374618,375046,375711,376604,377716,379445,381433,383344,385062,386531,388088,389799,391596,393168,395035,396718,398682,400402,402106,403515,404366,404974,405488,405969,406391,407038,407741,408748,409455,410675,411778,413058,413764,414126,414541,415036,416288,417230,417984,418603,419698,421387,422969,424213,425173,426021,426960,428085,429377,430801,432689,434331,436425,438129,440718,442952,445312,447214,449051,450763,452422,454119,456239,458848,461794,464820,467195,468849,469558,470260,471440,473135,474980,476544,477558,478435,479333,480335,481021,481219,481188,480915,480449,479912,479617,480155,481185,482663,484082,485575,486385,486942,488159,490750,495258,500749,506781,512611,517458,522204,526577,531325,536845,544022,551965,559572,565484,570041,573600,576842,580804,585445,591876,599008,606525,612535,616856,619142
753899,2,"Los Angeles, CA",msa,CA,227786,228579,229794,232104,234580,236919,239314,241827,244221,246410,248437,250571,252211,253988,255882,258521,261110,263497,265939,268484,271124,273741,276021,278419,280397,282728,285504,289036,293052,297150,302307,307679,313147,318030,322878,327669,331703,335429,339550,344158,349901,354443,360373,366569,373915,379975,385864,391748,398673,406264,414865,424759,436893,448840,459431,468172,476972,485629,491344,497221,502460,509754,517410,525278,532850,539960,548330,557244,566401,575703,581989,588490,593992,599368,604260,608348,613496,617377,618606,620016,618272,618422,617216,617260,617417,617120,616042,614141,610721,607564,601696,595341,587548,580170,574605,567615,561365,551949,541662,527834,513681,500632,488788,478326,470907,463534,455573,444982,437425,433322,430389,427402,424433,420809,418312,416671,416772,417434,420286,425019,426927,426420,426682,429589,433280,432532,429982,425344,421286,417243,413575,412270,411566,411960,410224,408479,403633,402445,401271,399318,394973,390931,390489,390710,390100,389372,388705,389211,390277,391927,394485,396496,398857,402472,406772,413123,419365,428442,437337,447047,455038,463377,470645,478292,484718,489825,495476,500460,506059,508500,509460,508759,508783,508923,509756,508337,507885,508364,511502,515226,519751,524617,528422,529812,531695,533629,534805,536197,538185,542431,545745,551478,555332,559542,561299,564480,567565,570426,571165,572768,574995,579485,583161,585948,590336,593350,596659,598205,601338,605052,606584,608259,610428,615130,620972,626079,630918,636016,640967,645449,647962,650785,651211,652076,652519,655729,657555,657051,655908,653790,652467,652043,652996,653999,653077,653792,656465,660702,662685,664469,667401,673408,680267,685315,683433,680576,682292,691328,701786,711604,718983,725225,730285,737665,745419,756302,771738,791254,811848,825095,834073,838762,845860,855023,865646,877802,895038,914016,930381,931707,928599,914636
394463,3,"Chicago, IL",msa,IL,170004,170405,170924,171963,173064,174155,175363,176717,178116,179493,180744,181967,183112,184126,185275,186405,187797,189084,190385,191702,193031,194453,195632,196699,197609,198669,199948,201022,202225,203327,204804,206312,207772,209112,210073,211232,212350,213708,214930,216328,217531,218630,219648,220957,222432,223827,225063,226168,227509,228785,230094,231562,233181,235058,236752,238481,239936,241465,242990,244732,246338,248048,249714,251626,253615,255642,257503,259271,261173,263040,264647,266191,267688,269173,270678,271979,273413,274231,274925,275388,275747,275899,275980,276246,276828,277382,277744,277687,277369,276871,276215,275524,274426,273354,272329,271088,269835,,,263483,,260154,259176,255767,253684,249972,247005,243043,238677,235636,232421,231147,228872,227492,225895,224451,221970,219780,217626,216984,215861,215568,214050,214633,213858,214617,212082,210684,207941,206225,203295,200780,198501,196735,195615,194031,193341,191881,191450,190074,188922,186463,185046,182777,181684,179539,179391,179067,179525,179401,178586,177759,176789,177139,177529,177840,178573,179651,180639,181940,183179,185265,186940,189003,190608,192786,193763,195106,195848,197348,198126,198591,199264,200367,201243,201455,201785,202040,202498,203030,203524,204160,205059,206342,207306,207354,207319,207143,207162,207154,207383,208236,209320,211138,212477,213444,213906,214276,214902,215353,215811,216316,217341,218839,220697,222389,224183,225471,226434,226579,226657,226817,227468,228370,229509,230944,232545,233898,234698,235181,235634,236067,236478,236776,237423,237925,238699,239317,239851,240592,241057,241564,241622,241550,241510,241441,241437,241330,241337,241550,242030,242638,243167,243294,243127,243097,244108,245771,248653,251507,254307,256530,258060,260382,262494,265534,268285,272104,276268,280383,283454,286113,288807,291527,294162,296729,300023,303490,307454,310438,312286,312609
394514,4,"Dallas, TX",msa,TX,129921,130025,130112,130323,130544,130729,130927,131293,131747,132276,132759,133251,133462,133142,132861,132743,132961,133027,133099,133392,133619,133821,133870,134016,134157,134451,134823,135365,135859,136544,137155,137793,138247,138662,139052,139415,139685,139827,140014,140210,140392,140586,140649,140816,140986,141258,141468,141479,142237,143724,,148030,149084,149431,149572,149953,150295,150664,150894,151069,151785,152121,152512,152656,153121,153591,153859,154176,154509,154516,154616,154470,154484,154716,155034,155640,156292,156918,157242,157355,157591,158357,158835,159343,158998,158559,158099,158308,158783,159206,159573,159973,160554,160890,161092,161254,160277,159004,157442,156870,156470,156194,156065,155508,154623,153494,152638,152085,151664,151715,151872,152187,152387,152340,152395,152152,152117,152009,152529,152917,152873,152614,152385,152737,152866,152915,152358,151537,150488,149587,148660,148146,147719,147215,146726,146031,145639,145058,144984,144838,144905,144767,144600,144201,143904,144289,144872,145552,146012,146588,147313,147746,148111,148432,149103,149777,150569,151251,152200,153166,154241,155349,156522,157457,158493,159648,161038,162276,163229,164286,165252,166216,167110,168199,168948,169687,170213,171206,172477,173924,175523,177079,178794,180514,182308,184105,185860,187029,188087,189261,190913,192806,194444,196146,197671,199488,201406,203244,205133,206471,207925,209453,211417,213498,215304,217181,218622,220258,221738,223310,224594,225867,227475,229299,231128,232763,234568,236563,238513,240047,241207,242329,243309,244518,245527,246608,247656,248966,250669,251799,252437,252480,252603,252605,252678,253372,254526,255082,255332,255228,256226,257167,258419,259031,259443,260047,261097,263442,266030,269118,271492,274081,276396,279761,283767,289272,295663,302961,310739,318609,325773,331829,337274,343129,350514,358982,367040,376487,385149,392668,394861,393920
394692,5,"Houston, TX",msa,TX,125814,125892,125773,125892,125899,126100,126229,126507,126862,127095,127612,128086,128335,128317,127861,127663,127605,127799,127962,127852,127947,128100,128320,128433,128566,128802,129352,129981,130580,131083,131591,132242,132775,133192,133467,133713,134093,134416,134820,135055,135291,135489,135705,135965,136124,136326,136471,136714,137184,138285,,141391,142711,143089,144074,144584,145428,146085,146738,147503,148192,148907,149444,149880,150072,150307,150413,150429,150366,150249,150405,150461,150630,150593,150807,151112,151791,152309,152896,153403,154057,154793,155410,156094,156418,156417,156212,156442,156973,157684,158084,158556,158892,159238,159447,159704,159195,158680,158083,158051,157812,157508,157243,156605,155797,155046,154145,153215,152237,152126,152156,152398,152639,153121,153702,153832,153625,153157,153158,153364,153362,153462,153810,154396,154768,154567,153720,152353,151213,150396,149902,149400,148826,148196,147340,146708,146219,145940,145820,145740,145540,145250,144383,143811,143620,143983,144574,144983,145498,145831,146379,146877,147213,147240,147534,147873,148680,149664,151287,152986,154582,155833,157104,158439,159788,161189,162487,163707,165094,166567,167800,168711,169541,170802,172175,173772,175309,176726,178058,179446,180996,182434,184050,185466,186864,187987,188707,189188,189680,190589,191445,192243,193258,194145,194696,194894,195475,196186,196878,197139,197398,197694,198647,199734,200398,200925,201448,202139,202585,203043,203318,203556,203873,204469,205217,205915,206584,207073,207579,208530,209537,210445,211016,211922,212897,213911,214693,215393,216362,217202,217691,217715,217812,218239,218712,219154,219458,220185,220913,221560,221511,221739,222337,223365,223956,224366,224821,225855,227770,229921,232316,234557,236864,239485,241381,243831,246992,252242,258036,264025,268885,273167,276323,279731,283174,287471,292806,298784,304340,308511,311100,312338
395209,6,"Washington, DC",msa,VA,192104,192349,192726,193528,194641,195865,197390,199036,200684,202332,203942,205824,207484,208999,210620,212668,215014,217389,219794,222275,224690,226968,229264,231547,233626,235576,237700,240284,243254,246468,249948,253587,257026,260140,262862,265554,267909,270676,273583,276905,280180,283661,287276,290834,294467,298106,301516,304656,307573,311183,315256,320278,325967,332483,339947,347410,354925,360895,366106,371271,377213,383077,389230,396548,405106,413458,421111,427809,434395,440241,444896,449162,452818,456654,460571,463847,466308,467176,467442,466909,464626,461492,459034,457546,456275,454932,453753,453238,451982,449288,445735,442084,439187,435614,431730,427122,422959,418359,413036,407159,400418,394124,387545,381564,375341,369899,365238,361347,356939,352679,348666,345482,343534,342103,340661,338854,336838,335745,335724,336943,338745,339691,340998,342366,344124,344360,343347,341625,340205,338992,337570,336589,336220,337041,337407,337557,336622,336143,334905,333810,332233,331274,331364,331512,331810,332332,333930,335442,336532,337492,338560,339415,340127,341669,344150,346912,349870,352567,355115,357299,359513,361418,363307,365262,368171,371039,373974,375848,377681,379620,381303,382483,382293,381817,381454,380964,381006,381149,381618,381920,381711,382393,383172,383463,383182,382770,382566,382145,382075,382697,383449,384497,385342,385609,385774,386543,387908,388731,389126,389387,390461,391543,392812,394304,396387,399030,400432,401175,400693,401022,401404,402746,404101,405968,407868,409103,410005,410947,412493,414156,415789,417230,418364,419182,419921,420966,421933,423579,425273,427214,428493,429270,429566,429819,429740,430604,431894,433872,435661,437079,438084,439199,440524,442439,443510,445115,447759,451830,456516,461145,466000,470626,475131,479942,485739,492538,499716,506461,511487,515078,517527,520394,523298,526695,530467,535506,541110,546513,550896,553196,553841,552793
394856,7,"Miami, FL",msa,FL,124873,125333,125744,126555,127221,127898,128606,129354,130146,130925,131771,132682,133555,134489,135612,136865,138314,139773,141490,143394,145389,147421,149155,150787,152244,153671,155013,156493,158050,159702,161451,163462,165345,167153,168736,170783,172807,174931,177079,179372,181750,183902,186025,188233,190635,192991,195299,197310,199629,201782,204255,206719,209945,213489,217354,221418,225505,229527,233238,237306,241190,245444,250044,255153,260911,267045,273883,280468,286813,292311,297155,301494,305838,309670,314030,319522,324904,329537,332264,334156,335176,335429,335961,335897,335377,334496,332602,330272,327313,324219,320542,316521,312143,308464,303748,299276,292979,287424,280590,274886,268637,263350,257109,250313,243017,235800,229242,223406,218013,213356,208448,204045,199294,195548,192128,189334,186748,184953,183570,182091,181204,180768,180870,180575,179844,178394,176971,175407,174059,172119,170549,169135,167817,166594,165504,164801,163828,162727,161604,160925,160563,160477,160595,160694,161096,161162,161615,162035,162848,163694,164600,165936,167618,169318,170784,172356,174518,177053,179805,182675,185406,187563,190025,192663,195764,198666,202226,205696,209064,211318,213395,214399,215891,217049,218947,220378,221886,223512,224551,225995,227170,228938,230012,231204,232142,233355,234353,235556,237129,238595,240519,242279,244218,245746,246939,248173,249513,251392,253357,255068,256355,257720,259332,261183,262645,263933,264756,265983,267207,268541,269729,271300,272742,274518,275586,277054,277956,279638,281437,283021,284715,286175,287887,288968,289815,290575,292469,294126,295766,295943,296485,296889,297169,297690,297996,298116,298045,298627,299379,299802,300545,302591,304522,306149,307166,307994,308632,309991,312295,315034,317560,320579,323882,326893,330717,334352,340032,346240,353590,360981,369076,377231,384861,392080,400076,407634,417808,428444,441873,453591,464238,470806
394974,8,"Philadelphia, PA",msa,PA,129987,130422,130684,131335,131861,132456,133002,133584,134231,134900,135508,136046,136592,137249,138002,138783,139508,140270,141147,142116,143149,144086,145082,145854,146676,147452,148445,149556,150693,151972,153319,155031,156840,158642,160147,161680,163104,164543,165877,167418,169134,171013,173043,175154,177287,179209,181001,182506,183990,185425,187080,188946,191223,193836,196779,199921,202718,205049,206988,209161,211533,213586,215530,217570,220288,223342,226549,229598,232380,235120,237496,239716,241316,242900,244453,246308,248156,249864,251248,252141,252597,252826,252799,252610,252276,252229,252740,253314,254165,254522,254741,254236,253585,253139,252744,252248,251272,250907,250789,250939,250225,248984,247230,245413,243467,241630,240003,238519,237136,236182,235774,235547,235006,234134,232950,231859,230807,230383,230336,230421,230600,230636,230821,231030,231359,231499,231038,229870,228161,226271,224388,222890,221771,221090,220472,219512,218127,216494,215022,213835,212667,211595,210618,209890,209131,208415,208123,208106,208047,207563,206869,206194,205786,205461,205379,205301,205599,205920,206474,207086,207989,208929,209825,210393,211008,211449,212020,212363,212953,213522,213895,213745,213760,213931,214215,214081,213906,213829,214005,214333,214655,214911,215266,215769,216046,216145,216190,216454,216662,216688,216665,216679,216937,217312,217594,218007,218433,219192,219701,220238,220673,221370,222090,223097,224185,225111,225787,226368,227004,227487,227820,228305,228965,229989,231020,232160,233083,234299,235770,237275,238257,238764,239236,239769,240565,241299,242354,243361,244398,245148,246011,246668,247299,247526,247958,248408,248882,249297,249802,250682,251609,252610,253113,254141,254954,256275,257897,260510,263673,267355,270877,274561,277794,280914,284016,287345,291701,296538,301073,304699,307566,310022,312506,314788,317339,319889,323141,326822,331147,334635,337266,338343
394347,9,"Atlanta, GA",msa,GA,153620,154131,154657,155721,156762,157789,158759,159812,160878,162025,163036,164141,165139,166125,166967,167777,168613,169396,170160,170937,171722,172488,173191,173889,174553,175254,175850,176473,176980,177490,177893,178316,178748,179223,179633,179970,180316,180645,181046,181380,181703,181996,182263,182630,182981,183326,183597,183943,184204,184521,184814,185326,185781,186176,186521,187013,187538,188080,188478,188900,189371,189923,190442,191022,191720,192510,193165,193785,194394,195031,195642,196251,196876,197457,197928,198426,198940,199583,200304,200960,201452,201774,201979,202319,202575,202906,203264,203708,204134,204374,204527,204458,204082,203480,202571,201794,200433,199039,197350,196276,195314,194326,193025,191510,189895,187998,185410,182133,178858,176035,173683,171323,169115,167294,166029,165036,163937,162694,161609,160926,160101,159395,158797,158860,158891,158636,157194,155289,152766,150781,148711,146943,145056,143627,142085,140392,138107,136040,134438,133701,133464,133367,133061,131955,131220,130591,131324,132051,133048,134022,135051,135584,135461,135559,136377,137516,138915,140480,142363,144090,145991,147953,149949,152139,154421,156701,158644,160634,162281,163764,164897,166048,167102,167995,168980,169739,170509,171219,172077,173012,173920,174740,175401,176260,177399,178636,179460,180225,181035,181928,182879,183860,185059,186215,187584,189013,190269,191094,191657,192179,192697,193676,194897,196614,197851,199198,200238,201454,202672,204052,205498,206662,208244,209772,211590,213504,215589,217616,219057,220438,221768,223205,224716,226239,227935,229673,231309,232811,233935,235030,236183,237420,238430,238833,239323,240031,241008,241806,242568,243656,244823,246309,247375,248435,248968,249828,251194,253316,256020,258989,262106,265449,268782,272705,276683,281465,286881,293655,301014,308438,315492,322898,330429,338234,345693,352479,359621,367035,374250,379604,382157,383153
