RegionID,SizeRank,RegionName,RegionType,StateName,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022
102001,0,United States,country,,257933,256300,258267,263267,271267,276300,279667,279967,279633,279600,279467,279467,277833,276333,276667,281633,289300,295933,299267,299600,297967,296333,293333,291633,288300,286600,286633,291300,296300,301300,306633,313300,317967,319300,318967,315967,311297,305163,308463,315133,326633,334000,340667,343000,342300,341300,340633,339000,334667,332967,337967,349967,365000,380000,391333,397667,396667
394913,1,"New York, NY",msa,NY,489300,489300,494333,503000,513000,521300,526300,528300,526600,526267,527600,529000,527667,524667,524667,528000,537667,544333,549000,547667,544333,544333,545667,549000,549300,549300,549300,552333,555967,559300,561300,566333,574967,584967,592967,597967,599600,598267,597967,597667,599000,599000,599000,596000,589333,585667,585333,587667,588333,591667,596333,608000,620000,633300,637967,634633,626666
753899,2,"Los Angeles, CA",msa,CA,703332,702998,711333,721333,735000,743333,750000,749667,742967,736267,728267,724633,719667,711300,711600,716267,732633,742667,752933,756567,759233,758967,758667,762333,765667,767667,771298,779965,787965,794333,802333,816000,826000,829633,831300,838294,844661,849327,849300,849633,858267,867633,879300,877666,868333,856666,853000,853000,854667,864167,880767,904100,924900,941633,949967,948333,940000
394463,3,"Chicago, IL",msa,IL,274933,271600,276267,284600,294600,300600,302267,301967,297933,296117,292783,288483,283333,280000,284300,291267,301267,306300,309467,306465,302798,298998,295633,290967,284933,281633,284967,291633,297967,299600,301300,304633,307667,309300,306300,303267,298267,296567,299900,304933,309967,311667,313333,313300,308267,303233,299600,296300,289666,285000,288167,298133,309800,318300,323333,324967,322967
394514,4,"Dallas, TX",msa,TX,316333,317333,320667,322997,328497,331797,332800,329502,324202,321168,318966,317633,315999,313333,313667,316967,323633,328467,330133,328467,324966,321633,319933,319600,317967,314667,313633,315267,318600,321633,325633,330600,333233,334267,332633,331600,328600,328567,330300,336130,342830,351163,359667,367959,371293,373293,373333,376086,377420,379086,384000,391000,404333,418300,431633,437967,434667
394692,5,"Houston, TX",msa,TX,287633,289133,291433,294467,297933,299633,299933,299633,297800,296165,293132,291632,289933,288300,289965,292665,297632,299300,299933,298966,295633,292316,289316,287650,286000,283333,284333,287666,293166,297133,301132,303966,307299,309967,313275,314308,314308,313596,315929,317596,323300,328300,333300,335000,333333,333333,332667,332667,330333,327667,327667,334167,344167,355833,363000,366333,364333
395209,6,"Washington, DC",msa,VA,404667,395667,395667,405633,419967,433267,439933,439933,434933,428300,423300,420000,411633,404633,405633,415667,430967,441600,448233,448233,443233,442083,440450,441783,435967,430967,433000,443300,454967,461633,466667,471633,471600,467479,461049,456049,447137,440267,440267,449967,464967,475000,483000,481633,479800,478467,479833,476666,464666,457667,466900,490567,519383,538483,548483,548333,541667
394856,7,"Miami, FL",msa,FL,367967,367933,366900,366600,368267,371067,372367,372367,369267,367967,366333,367667,367833,366167,363167,361667,364667,368500,371833,373833,375000,374967,374933,374933,374967,374967,374367,374367,374400,373333,373300,371633,373133,373166,376467,377967,377967,376333,375000,378333,384667,392967,401300,411633,420000,426667,431333,439333,446000,455333,467333,483997,504997,526663,551667,566667,566667
394974,8,"Philadelphia, PA",msa,PA,228967,223667,222333,225500,234133,242467,249967,251667,251633,249933,249600,247300,242333,236000,234333,239000,248967,259600,266600,269933,268300,268267,268267,268233,263233,256600,256600,261600,269266,275800,284133,291467,293267,291300,289300,287667,283000,276633,273300,274967,284667,292967,299600,299600,297967,296333,293300,289933,283233,278267,276633,284000,295633,308633,316300,318000,313333
394347,9,"Atlanta, GA",msa,GA,269633,270633,273967,280600,289900,296600,299633,297000,292000,288667,284667,283000,279666,277966,279600,283733,292100,299767,304540,304507,301540,298967,296667,294633,291933,290600,291300,294333,297667,299333,303000,308333,313333,316333,314667,312333,307667,307666,310183,316850,326850,338300,346633,349967,349667,349667,349633,349933,348267,347967,348000,354333,364667,379500,391167,396167,391333
