RegionID,SizeRank,RegionName,RegionType,StateName,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022
102001,0,United States,country,,234938,234364,234496,236015,236405,237518,237763,240411,242489,244501,245354,245669,246321,247467,249639,251691,252749,253735,255622,258905,260220,257703,254560,257327,264466,273916,280044,285048,287008,287692,289711,293967,300860,306410,310904,313091,315744,318978,322666,326150,327825,328741,332083,339061,348583,355630,358012,353925
394913,1,"New York, NY",msa,NY,405728,412242,410429,412516,405684,406750,406682,407135,406744,405945,407038,409520,408746,408882,411483,416480,420836,422131,426060,428167,432107,431333,429506,424527,424942,431083,445891,460496,470083,471912,475056,478377,486582,492853,500987,505465,508665,514302,518292,521230,521002,522290,524993,530136,539317,547306,555416,563098
753899,2,"Los Angeles, CA",msa,CA,630993,627601,629128,629960,628599,624573,622153,625316,629121,629122,630193,635490,637639,641477,641041,645020,649867,656825,662014,665687,659114,651684,648296,662957,685580,707527,720987,728134,730671,732751,741435,754680,772363,789371,801773,806365,809341,813795,822126,829498,840554,847700,859113,873041,894969,908705,908743,893157
394463,3,"Chicago, IL",msa,IL,223449,222765,223663,227847,229539,230678,233614,236616,237201,235634,231855,230859,228330,228877,230979,235264,237652,237397,238913,242255,246660,244145,237906,235101,240624,249996,259580,263501,266375,265233,266614,267226,269070,272305,273885,274409,274035,276231,279369,282338,284798,286132,288336,289500,293297,295136,300937,300539
394514,4,"Dallas, TX",msa,TX,259984,255129,253270,253777,254104,253334,253630,255325,257828,261580,263893,266121,265779,263632,264836,265427,267035,268169,269924,271252,273054,271493,272294,276349,284546,290120,294602,299956,301158,301315,304624,310952,318994,328525,337253,345094,347701,348696,351283,354352,358832,362678,368419,375582,389474,403402,411526,409728
394692,5,"Houston, TX",msa,TX,221144,220394,220796,221676,222857,222763,224152,225847,227192,229137,230243,231385,230811,229831,229552,231038,233260,235141,236609,236601,237184,233817,234741,239606,247976,252484,255747,259143,263018,264272,267283,273466,280566,287451,292423,295007,295343,293497,295848,300976,305937,309697,313986,317641,323859,330281,335517,336511
395209,6,"Washington, DC",msa,VA,385363,384499,385927,386555,390463,393547,396597,399827,399933,398105,394966,394600,395310,396228,399272,406020,409334,408473,409369,415884,424220,419562,412282,414113,425103,438010,445423,449035,449061,445346,440770,443574,451804,465146,472202,474773,474494,473553,475899,477445,479616,474733,473601,480887,498246,512454,516720,511071
394856,7,"Miami, FL",msa,FL,263077,262397,266353,270706,272989,272462,271750,276039,278019,277929,275238,276162,278670,279985,282788,286146,288647,290126,291117,296659,301153,302772,300673,301633,307759,316504,322068,325142,326998,331045,336970,341151,345539,346735,349116,350242,352186,355592,360193,365239,371762,378067,386208,393994,400986,409422,414996,418524
394974,8,"Philadelphia, PA",msa,PA,228026,228796,229090,230729,231382,233937,233810,237101,238610,240066,239328,240854,242461,242836,241055,242006,244484,247573,249712,252151,258592,259307,256498,252730,255964,264988,270416,274279,275512,278145,279083,278437,277625,277013,277771,280787,286359,291541,293536,293617,291941,295351,296984,298197,297964,304825,314712,319614
394347,9,"Atlanta, GA",msa,GA,223174,224890,228357,231161,230933,230221,230854,233454,234139,235847,236598,238282,239456,241275,243916,246811,248558,249833,252010,253859,256403,251618,249054,250518,260726,270686,278238,282115,283440,284711,286883,292376,298696,305955,312690,317506,320778,325347,332861,342079,346451,347826,348818,352229,357348,364767,371357,374545
394976,10,"Phoenix, AZ",msa,AZ,264647,265480,265460,266430,267299,268219,268851,269288,270501,272357,274053,276241,278742,282017,285453,287231,289196,292167,296835,301771,301964,299573,298924,304269,313455,321639,328204,332631,335320,339946,347030,356365,365887,376854,386991,396428,403842,411713,418679,425320,429900,435621,443824,456082,467392,478217,483581,480567
394404,11,"Boston, MA",msa,MA,435758,433069,435246,435229,433674,433969,438761,445013,445535,447937,449155,450550,447857,448522,451649,452852,456190,458749,465994,474817,485727,485752,479596,476314,485752,503494,512668,514647,513290,513232,521961,529788,543959,553204,563305,566239,566635,563043,563297,567888,572558,574039,572694,581071,597707,617131,633942,638053
395057,12,"San Francisco, CA",msa,CA,855352,847437,852601,852683,845716,833510,835827,841316,852144,854401,859495,849709,840135,834107,848302,856680,861345,855122,857750,861530,858155,847192,851598,877368,911883,934966,935975,936793,935146,944655,954896,974760,1016515,1057683,1086575,1085050,1078738,1071742,1074985,1071937,1058564,1050085,1065978,1102821,1152978,1184667,1190467,1154872
395025,13,"Riverside, CA",msa,CA,351206,353977,353958,354135,351658,351998,352053,353619,354126,356400,358869,361226,363902,367179,370292,372011,371783,372539,373930,376502,375354,374698,377046,385199,396567,408260,417936,424754,430096,433288,438559,445647,456145,466015,475404,483649,491487,496011,501127,505846,515245,523516,529942,537014,546956,556762,560892,553897
394532,14,"Detroit, MI",msa,MI,177234,173812,172811,172199,174155,173970,175912,178105,180446,183112,183655,185811,184336,185164,184192,186002,185685,186533,186693,190434,197016,195444,193608,194064,199683,205587,206386,210462,210912,210178,207907,209901,214586,221008,223653,225952,227024,228384,227295,226276,226324,228503,232193,233300,235069,237617,244513,245294
395078,15,"Seattle, WA",msa,WA,441123,436554,434511,433374,433505,435363,442718,449468,454641,459764,460166,460480,457397,458429,461804,463432,470475,473869,481164,485739,491816,487432,490544,497109,514409,528851,539612,546613,543540,546553,551277,571211,591175,613914,626239,633740,634167,630768,631622,632589,638234,635607,645937,666612,698306,718605,718526,700688
394865,16,"Minneapolis, MN",msa,MN,246528,246917,250814,254781,256434,256916,258062,262930,265074,267252,266663,266456,266582,266705,269345,270859,272058,273169,274875,279091,282809,282892,280816,281056,286693,293040,299033,302884,305785,305483,305614,308045,312944,318412,322909,325465,328041,330475,332168,332614,331578,333224,333301,334324,338257,345010,353169,356185
395056,17,"San Diego, CA",msa,CA,572497,573894,570399,566353,560582,565096,568460,571247,568823,568006,571894,571709,576023,572584,575884,581237,583966,589492,591415,595099,592511,585370,585901,598102,618037,635410,643346,649035,652908,655484,665924,679062,696296,713439,729280,739655,737940,737967,741566,752987,759224,765374,779796,798250,821080,839579,839605,825347
395148,18,"Tampa, FL",msa,FL,206946,207757,208096,211072,211246,212538,212965,214510,215882,216071,216853,218467,220380,222111,223561,224592,227107,228142,230764,232082,235667,235819,236141,236541,241172,248214,254153,258882,261836,264291,266563,268386,273294,277698,284190,287734,292426,296263,302210,309084,316637,324663,333238,342181,350135,359399,367549,372479
394530,19,"Denver, CO",msa,CO,399457,397862,398595,398694,398812,397838,398414,399678,401972,406878,407683,411856,412090,414027,414342,417330,417391,418861,420525,428014,427854,426248,422216,427761,437605,448181,457618,464189,467080,464813,466972,476786,494374,512514,525479,533148,537721,541590,544090,547145,550515,556096,564371,576876,593770,606514,612434,605540
395121,20,"St. Louis, MO",msa,MO,175982,176167,176545,176748,177969,180689,181520,183058,182659,184001,184549,185218,186290,185636,187344,187718,190251,191317,190444,191023,191655,195089,194288,195790,200441,206526,209754,209758,210224,210339,209307,208881,209588,211271,213558,216285,218184,220582,221138,224243,223146,222746,220273,223590,226567,231625,238227,241778
394358,21,"Baltimore, MD",msa,MD,275512,277328,276995,279254,279464,277591,278369,278047,281353,282836,284274,285101,285862,289161,292057,293296,294356,293077,293510,295376,301860,301537,295607,288661,293797,302369,310165,313167,311136,311909,310015,310847,305345,307530,311857,315730,318029,318992,327780,329084,329163,328883,329147,333207,335777,341619,346326,344602
