"","X","RegionID","SizeRank","RegionName","RegionType","StateName","month","ZVHI","inventory","median_list_price","median_sale_price","StL_ratio","prct_above_list","lat","lng","y","year","season","loc_cluster"
"1",6316,394913,1,"New York, NY","msa","NY",8,470260,91252,526600,405728,0.984065656,0.244924626,40.6943,-73.9249,0.241021912755245,2018,"Summer",7
"2",6317,753899,2,"Los Angeles, CA","msa","CA",8,652076,29874,742967,630993,1,0.411631914,34.1139,-118.4068,0.411631914,2018,"Summer",1
"3",6318,394463,3,"Chicago, IL","msa","IL",8,236776,49782,297933,223449,0.980546455,0.181312841,41.8373,-87.6862,0.177785663488529,2018,"Summer",5
"4",6319,394514,4,"Dallas, TX","msa","TX",8,244518,33567,324202,259984,0.994863167,0.281433194,32.7936,-96.7662,0.279987518681765,2018,"Summer",2
"5",6320,394692,5,"Houston, TX","msa","TX",8,211922,32911,297800,221144,0.981338999,0.164609314,29.7863,-95.3889,0.161537539426837,2018,"Summer",2
"6",6321,395209,6,"Washington, DC","msa","VA",8,419182,23728,434933,385363,1,0.299165058,38.9047,-77.0163,0.299165058,2018,"Summer",6
"7",6322,394856,7,"Miami, FL","msa","FL",8,288968,50432,369267,263077,0.967548299,0.084709472,25.7839,-80.2102,0.0819605055427881,2018,"Summer",3
"8",6323,394974,8,"Philadelphia, PA","msa","PA",8,239769,28691,251633,228026,0.98996114,0.219983742,40.0077,-75.1339,0.217775356011786,2018,"Summer",7
"9",6324,394347,9,"Atlanta, GA","msa","GA",8,226239,31488,292000,223174,0.992799848,0.239373093,33.7627,-84.4224,0.23764957034569,2018,"Summer",4
"10",6325,394976,10,"Phoenix, AZ","msa","AZ",8,260781,25520,321600,264647,0.991002918,0.17832813,33.5722,-112.0891,0.176723697191483,2018,"Summer",1
"11",6326,394404,11,"Boston, MA","msa","MA",8,480190,15361,503967,435758,1.000094187,0.484216523,42.3188,-71.0846,0.484262129901652,2018,"Summer",7
"12",6327,395057,12,"San Francisco, CA","msa","CA",8,1120987,8162,894667,855352,1.032870998,0.710105457,37.7562,-122.443,0.733447332056836,2018,"Summer",1
"13",6328,395025,13,"Riverside, CA","msa","CA",8,365681,22009,389816,351206,1,0.338415858,33.9381,-117.3948,0.338415858,2018,"Summer",1
"14",6329,394532,14,"Detroit, MI","msa","MI",8,169085,20176,220333,177234,0.995021807,0.315874586,42.3834,-83.1024,0.314302101347097,2018,"Summer",5
"15",6330,395078,15,"Seattle, WA","msa","WA",8,503197,13567,514667,441123,1.004296977,0.495725997,47.6211,-122.3244,0.497856120207411,2018,"Summer",8
"16",6331,394865,16,"Minneapolis, MN","msa","MN",8,276938,16615,308192,246528,1,0.450482135,44.9635,-93.2678,0.450482135,2018,"Summer",5
"17",6332,395056,17,"San Diego, CA","msa","CA",8,578163,10529,666000,572497,0.992510156,0.283061459,32.8312,-117.1225,0.280941372829678,2018,"Summer",1
"18",6333,395148,18,"Tampa, FL","msa","FL",8,212145,18997,250600,206946,0.983712843,0.157847529,27.9942,-82.4451,0.155276641513115,2018,"Summer",3
"19",6334,394530,19,"Denver, CO","msa","CO",8,424565,12574,453300,399457,1,0.389822518,39.7621,-104.8759,0.389822518,2018,"Summer",2
"20",6335,395121,20,"St. Louis, MO","msa","MO",8,174298,16088,203150,175982,0.989336289,0.252209766,38.6358,-90.2451,0.249520273943998,2018,"Summer",5
"21",6336,394358,21,"Baltimore, MD","msa","MD",8,292600,13645,306666,275512,0.998046875,0.247708153,39.3051,-76.6144,0.247224348013672,2018,"Summer",6
"22",6337,394458,22,"Charlotte, NC","msa","NC",8,223751,12085,304648,226035,0.98929694,0.256776433,35.208,-80.8304,0.254028139431015,2018,"Summer",6
"23",6338,394943,23,"Orlando, FL","msa","FL",8,239917,13088,289267,231034,0.983947319,0.153718786,28.4772,-81.3369,0.151251187364635,2018,"Summer",3
"24",6339,395055,24,"San Antonio, TX","msa","TX",8,222110,11108,268100,213706,0.991232707,0.226097557,29.4658,-98.5253,0.224115293471197,2018,"Summer",2
"25",6340,394998,25,"Portland, OR","msa","OR",8,406862,12068,450300,384290,1,0.394891057,45.5372,-122.65,0.394891057,2018,"Summer",8
"26",6341,395045,26,"Sacramento, CA","msa","CA",8,405816,9239,446133,390247,1,0.411625533,38.5667,-121.4683,0.411625533,2018,"Summer",1
"27",6342,394775,27,"Las Vegas, NV","msa","NV",8,278720,11046,312500,267714,1,0.298965422,36.2333,-115.2654,0.298965422,2018,"Summer",1
"28",6343,394982,28,"Pittsburgh, PA","msa","PA",8,154050,12452,174633,162385,0.981671271,0.218229717,40.4396,-79.9762,0.21422984365736,2018,"Summer",6
"29",6344,394355,29,"Austin, TX","msa","TX",8,315370,10366,367333,312430,0.990618409,0.225304083,30.3004,-97.7522,0.223190372242664,2018,"Summer",2
