                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6179,                 2.1426,                 1.8105,                0.65596,                0.67485,                0.71445,                0.42415,                  1.364,                  1.297,                 1.7801,               0.066962,             3.3041e-06,             3.3041e-06
                      1,                 1.3401,                 1.2797,                  1.525,                0.79945,                 0.8292,                 0.8815,                0.59154,                 1.2123,                0.78826,                 1.5421,               0.033632,              6.621e-06,              6.621e-06
                      2,                 1.2709,                 1.1361,                  1.486,                 0.8465,                0.89129,                0.94335,                0.61087,                 1.2034,                0.63214,                 1.5663,             0.00030232,             9.9214e-06,             9.9214e-06
                      3,                 1.2287,                 1.0745,                 1.4532,                0.88549,                 0.8317,                0.91909,                0.60869,                 1.1998,                0.69795,                 1.5658,             9.9258e-06,             9.9258e-06,             9.9258e-06
                      4,                 1.1951,                0.99261,                 1.4288,                0.89286,                0.90671,                0.95419,                0.63104,                 1.2017,                0.60915,                 1.5512,             9.9258e-06,             9.9258e-06,             9.9258e-06
                      5,                 1.1747,                0.98361,                  1.411,                0.88125,                0.89701,                0.94705,                0.62551,                 1.2064,                0.61248,                 1.5995,              9.901e-06,              9.901e-06,              9.901e-06
                      6,                 1.1675,                0.92147,                 1.3983,                0.90443,                0.90114,                0.96392,                0.64346,                  1.201,                0.57856,                 1.5752,             9.8763e-06,             9.8763e-06,             9.8763e-06
                      7,                  1.157,                 0.9236,                 1.4067,                 0.9164,                0.89752,                0.95649,                0.63204,                 1.1859,                0.58499,                 1.5716,             9.8515e-06,             9.8515e-06,             9.8515e-06
                      8,                 1.1451,                0.90086,                 1.4128,                0.91487,                 0.9394,                0.97027,                0.64856,                  1.221,                0.53934,                 1.5724,             9.8268e-06,             9.8268e-06,             9.8268e-06
                      9,                 1.1345,                0.85103,                 1.3799,                0.90328,                0.93849,                0.96531,                0.64119,                 1.1992,                0.54622,                  1.548,              9.802e-06,              9.802e-06,              9.802e-06
                     10,                 1.1253,                0.84266,                 1.3514,                0.93017,                0.92814,                0.96794,                0.64808,                 1.2037,                 0.5506,                  1.544,             9.7773e-06,             9.7773e-06,             9.7773e-06
                     11,                  1.112,                0.81954,                 1.3596,                0.94913,                0.91377,                0.97386,                0.64531,                 1.2353,                0.53952,                 1.5485,             9.7525e-06,             9.7525e-06,             9.7525e-06
                     12,                 1.1011,                0.80416,                 1.3492,                0.90045,                0.92687,                0.95307,                0.63043,                 1.2216,                0.59686,                 1.5914,             9.7278e-06,             9.7278e-06,             9.7278e-06
                     13,                 1.0731,                0.78588,                 1.3434,                0.95379,                0.91498,                0.96924,                0.65541,                 1.1931,                0.51373,                 1.5269,              9.703e-06,              9.703e-06,              9.703e-06
                     14,                 1.0666,                 0.7429,                 1.3223,                0.92639,                0.94484,                0.97093,                0.65615,                 1.2165,                0.50608,                 1.5406,             9.6783e-06,             9.6783e-06,             9.6783e-06
                     15,                 1.0728,                0.76715,                 1.3276,                0.90729,                0.93613,                0.97073,                 0.6585,                 1.1978,                0.52672,                 1.5251,             9.6535e-06,             9.6535e-06,             9.6535e-06
                     16,                 1.0724,                0.75833,                 1.3206,                0.92012,                0.95485,                0.97133,                 0.6526,                 1.2421,                0.51056,                 1.5693,             9.6288e-06,             9.6288e-06,             9.6288e-06
                     17,                 1.0624,                0.71753,                 1.3219,                0.91984,                0.89398,                0.95944,                0.64068,                 1.2262,                0.54275,                 1.5482,              9.604e-06,              9.604e-06,              9.604e-06
                     18,                  1.051,                0.73528,                  1.311,                0.92066,                0.95749,                0.97625,                0.65068,                  1.236,                0.48595,                 1.5357,             9.5793e-06,             9.5793e-06,             9.5793e-06
                     19,                 1.0185,                0.70498,                 1.2791,                 0.9523,                 0.9462,                0.97504,                0.65511,                 1.2293,                0.48942,                 1.5076,             9.5545e-06,             9.5545e-06,             9.5545e-06
                     20,                 1.0114,                0.68169,                 1.2689,                0.97656,                0.98203,                0.98986,                0.65684,                 1.2294,                0.45204,                 1.5388,             9.5298e-06,             9.5298e-06,             9.5298e-06
                     21,                 1.0115,                 0.6954,                 1.2744,                0.94026,                0.95034,                0.98214,                0.66289,                 1.2115,                0.46478,                 1.5517,              9.505e-06,              9.505e-06,              9.505e-06
                     22,                 1.0244,                 0.6852,                 1.2995,                0.96266,                0.94307,                0.97726,                0.66014,                 1.2439,                0.48856,                 1.5693,             9.4803e-06,             9.4803e-06,             9.4803e-06
                     23,                 1.0211,                0.68131,                 1.3038,                0.97982,                0.92824,                0.97661,                0.65516,                 1.2314,                0.51718,                 1.5628,             9.4555e-06,             9.4555e-06,             9.4555e-06
                     24,                0.97837,                0.64804,                 1.2816,                0.92295,                0.93458,                0.96424,                0.63998,                 1.2638,                0.53856,                 1.5683,             9.4308e-06,             9.4308e-06,             9.4308e-06
                     25,                0.98972,                0.67616,                  1.277,                0.93273,                0.92991,                0.96888,                0.64937,                 1.2382,                0.50788,                 1.5572,              9.406e-06,              9.406e-06,              9.406e-06
                     26,                0.95822,                0.63818,                 1.2549,                0.94788,                0.93981,                0.97016,                0.63841,                 1.2729,                0.50721,                 1.6334,             9.3813e-06,             9.3813e-06,             9.3813e-06
                     27,                0.92331,                0.62268,                 1.2256,                0.96213,                0.94394,                 0.9765,                0.65474,                  1.254,                0.47918,                 1.5526,             9.3565e-06,             9.3565e-06,             9.3565e-06
                     28,                0.96406,                0.62723,                 1.2382,                0.95527,                 0.8955,                0.96856,                0.63771,                 1.2518,                0.53444,                 1.5743,             9.3318e-06,             9.3318e-06,             9.3318e-06
                     29,                0.94639,                0.64189,                 1.2314,                0.91736,                 0.9502,                0.97103,                0.64148,                  1.247,                0.51082,                  1.536,              9.307e-06,              9.307e-06,              9.307e-06
                     30,                0.93754,                0.60269,                  1.239,                0.94578,                0.91768,                0.97044,                0.65359,                 1.2564,                0.50782,                 1.5536,             9.2823e-06,             9.2823e-06,             9.2823e-06
                     31,                0.93378,                0.59411,                 1.2401,                0.93691,                0.92507,                0.96937,                0.63867,                 1.2909,                0.51591,                 1.6506,             9.2575e-06,             9.2575e-06,             9.2575e-06
                     32,                0.91415,                0.58935,                 1.2285,                0.93018,                0.93168,                0.96879,                0.64341,                 1.2747,                0.51059,                 1.6295,             9.2328e-06,             9.2328e-06,             9.2328e-06
                     33,                0.91744,                0.56888,                  1.234,                0.94213,                0.94582,                0.97264,                0.64221,                 1.2952,                0.51013,                 1.6514,              9.208e-06,              9.208e-06,              9.208e-06
                     34,                0.90942,                0.57696,                 1.2227,                 0.9407,                0.95055,                0.97783,                0.64247,                  1.282,                0.51824,                 1.6102,             9.1833e-06,             9.1833e-06,             9.1833e-06
                     35,                0.91625,                0.59448,                 1.2204,                 0.9669,                0.96488,                0.98729,                0.66668,                 1.2324,                0.47502,                 1.6115,             9.1585e-06,             9.1585e-06,             9.1585e-06
